video_link,thumbnail_link,duration
https://www.youtube.com//watch?v=v8VSDg_WQlA,https://i.ytimg.com/vi/v8VSDg_WQlA/hqdefault.jpg,"4 minutes, 27 seconds"
https://www.youtube.com//watch?v=uQhTuRlWMxw,https://i.ytimg.com/vi/uQhTuRlWMxw/hqdefault.jpg,"12 minutes, 9 seconds"
https://www.youtube.com//watch?v=Ip3X9LOh2dk,https://i.ytimg.com/vi/Ip3X9LOh2dk/hqdefault.jpg,"10 minutes, 3 seconds"
https://www.youtube.com//watch?v=rHLEWRxRGiM,https://i.ytimg.com/vi/rHLEWRxRGiM/hqdefault.jpg,"4 minutes, 46 seconds"
https://www.youtube.com//watch?v=XkY2DOUCWMU,https://i.ytimg.com/vi/XkY2DOUCWMU/hqdefault.jpg,"10 minutes, 4 seconds"
https://www.youtube.com//watch?v=kYB8IZa5AuE,https://i.ytimg.com/vi/kYB8IZa5AuE/hqdefault.jpg,"10 minutes, 59 seconds"
https://www.youtube.com//watch?v=k7RM-ot2NWY,https://i.ytimg.com/vi/k7RM-ot2NWY/hqdefault.jpg,"9 minutes, 59 seconds"
https://www.youtube.com//watch?v=fNk_zzaMoSs,https://i.ytimg.com/vi/fNk_zzaMoSs/hqdefault.jpg,"9 minutes, 52 seconds"
https://www.youtube.com//watch?v=kjBOesZCoqc,https://i.ytimg.com/vi/kjBOesZCoqc/hqdefault.jpg,"5 minutes, 9 seconds"
https://www.youtube.com//watch?v=sULa9Lc4pck,https://i.ytimg.com/vi/sULa9Lc4pck/hqdefault.jpg,"7 minutes, 42 seconds"
https://www.youtube.com//watch?v=Iq1a_KJTWJ8,https://i.ytimg.com/vi/Iq1a_KJTWJ8/hqdefault.jpg,"3 minutes, 57 seconds"
https://www.youtube.com//watch?v=Cld0p3a43fU,https://i.ytimg.com/vi/Cld0p3a43fU/hqdefault.jpg,"16 minutes, 2 seconds"
https://www.youtube.com//watch?v=RU0wScIj36o,https://i.ytimg.com/vi/RU0wScIj36o/hqdefault.jpg,"2 minutes, 34 seconds"
https://www.youtube.com//watch?v=cyW5z-M2yzw,https://i.ytimg.com/vi/cyW5z-M2yzw/hqdefault.jpg,"13 minutes, 13 seconds"
https://www.youtube.com//watch?v=1SMmc9gQmHQ,https://i.ytimg.com/vi/1SMmc9gQmHQ/hqdefault.jpg,"2 minutes, 34 seconds"
https://www.youtube.com//watch?v=XFDM1ip5HdU,https://i.ytimg.com/vi/XFDM1ip5HdU/hqdefault.jpg,"15 minutes, 8 seconds"
https://www.youtube.com//watch?v=-9OUyo8NFZg,https://i.ytimg.com/vi/-9OUyo8NFZg/hqdefault.jpg,"7 minutes, 27 seconds"
https://www.youtube.com//watch?v=zLzLxVeqdQg,https://i.ytimg.com/vi/zLzLxVeqdQg/hqdefault.jpg,"1 minute, 4 seconds"
https://www.youtube.com//watch?v=F_0yfvm0UoU,https://i.ytimg.com/vi/F_0yfvm0UoU/hqdefault.jpg,"6 minutes, 14 seconds"
